Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens	Proteasome subunit alpha type-7	1:Experimental evidence at protein level	8.06	1.0000	0.9990	2	1	2	2	1	2	592013	311844	592013	11K(304.2072), 9K(304.2072), N-term(304.2072)			38651.0498	43046.6504	23096.3281	5487.7725	23203.2490	8062.1633	2545.8840	0.0000	4169.9639	6659.6125	8475.0203	24077.5137	29287.5977	15413.4656	15891.3955	4738.3044	23522.5254	19752.2686
sp|O14910|LIN7A_HUMAN	O14910	LIN7A_HUMAN	LIN7A	233	Homo sapiens	Protein lin-7 homolog A	1:Experimental evidence at protein level	24.89	1.0000	0.9990	6	3	6	6	3	6	8442606	3416064	8442606	11K(304.2072), 13K(304.2072), 7K(304.2072), N-term(304.2072)			185117.1523	729380.4531	224833.2949	48473.8765	62795.9834	10221.8062	9959.5886	7457.6859	15155.7458	28323.0498	41347.5413	64606.0181	114866.9609	20131.2336	26715.1216	15671.5648	110684.3096	75159.6707
sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	Homo sapiens	Cytochrome b-c1 complex subunit 8	1:Experimental evidence at protein level	67.07	1.0000	0.9990	8	8	8	11	11	11	44423182	44423182	44423182	10K(304.2072), 1K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			343231.2979	2420450.9375	1466536.2539	209517.3193	253453.8381	27676.6554	44532.4373	38450.2477	88369.6823	135099.1306	141223.3481	209569.2334	658959.1270	201389.2402	202180.9199	187262.7671	413828.6592	398637.1274
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens	Myosin regulatory light chain 12B	1:Experimental evidence at protein level	18.60	1.0000	0.9990	3	0	3	3	0	3	1733849	     0	1733849	N-term(304.2072)		sp|P19105|ML12A_HUMAN	77405.0957	209723.0762	77592.4414	26211.9280	45420.0957	17476.3401	6602.2238	8249.4242	6822.0461	12955.4841	14142.8877	37456.4951	73290.8066	18887.6619	13125.8115	9627.7225	50557.2812	42575.8838
sp|O14994|SYN3_HUMAN	O14994	SYN3_HUMAN	SYN3	580	Homo sapiens	Synapsin-3	1:Experimental evidence at protein level	10.17	1.0000	0.9990	4	3	3	6	4	4	5341516	2193408	5341516	12K(304.2072), 9K(304.2072), N-term(304.2072)			87016.9395	235478.6719	79534.8125	29925.0508	123847.4424	9504.2748	14404.9683	14126.3992	23643.2727	43079.1409	64258.6846	120317.3716	179257.5508	47543.5469	49023.6848	27345.2095	108956.8564	94051.3281
sp|O15075|DCLK1_HUMAN	O15075	DCLK1_HUMAN	DCLK1	740	Homo sapiens	Serine/threonine-protein kinase DCLK1	1:Experimental evidence at protein level	9.46	1.0000	0.9990	7	5	7	8	6	8	2743912	2367598	2743912	10K(304.2072), 11K(304.2072), 12C(57.0215), 7K(304.2072), 9K(304.2072), N-term(304.2072)			370619.6113	516037.9082	143137.9727	50699.7444	145296.3418	25657.5349	22862.3616	14162.7587	17938.6862	72844.0288	54856.1133	146584.6050	172620.5752	55623.7987	42003.3379	25129.6595	154909.7178	93403.5439
sp|O15083|ERC2_HUMAN	O15083	ERC2_HUMAN	ERC2	957	Homo sapiens	ERC protein 2	1:Experimental evidence at protein level	15.26	1.0000	0.9990	15	11	15	16	12	16	4404260	3410006	4404260	11C(57.0215), 11K(304.2072), 12K(304.2072), 1K(304.2072), 6K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			566007.9238	1248864.7070	536371.3770	80909.2079	119677.0986	18283.4463	22652.0720	27769.2216	32135.9923	114293.9026	84759.5662	169481.3755	355118.0420	54651.6680	47792.1653	30474.9960	185983.2363	84589.8373
sp|O15126|SCAM1_HUMAN	O15126	SCAM1_HUMAN	SCAMP1	338	Homo sapiens	Secretory carrier-associated membrane protein 1	1:Experimental evidence at protein level	8.58	1.0000	0.9990	3	3	3	3	3	3	1890916	1890916	1890916	13K(304.2072), 8K(304.2072), N-term(304.2072)			122869.6816	432720.8750	68147.7568	25741.9294	25347.4397	4936.8372	3839.8141	3810.0874	5824.7771	19928.0737	19952.6238	30346.8560	84746.8398	7414.8293	15777.5959	8865.0439	36062.4453	33325.6611
sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	Homo sapiens	Actin-related protein 2/3 complex subunit 2	1:Experimental evidence at protein level	11.33	1.0000	0.9990	3	3	3	3	3	3	1008096	1008096	1008096	2C(57.0215), 9K(304.2072), N-term(304.2072)			32279.5830	72961.8887	27867.1748	5410.1040	48707.3789	7002.9304	5227.1226	3124.3394	9394.3657	8860.3406	13462.1123	40962.3730	52748.9629	13762.8628	7929.8120	12685.2959	47764.4570	33749.7344
sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	178	Homo sapiens	Actin-related protein 2/3 complex subunit 3	1:Experimental evidence at protein level	14.04	1.0000	0.9990	3	3	3	4	4	4	4445174	4445174	4445174	11K(304.2072), 8K(304.2072), N-term(304.2072)			152959.6465	260646.7266	121005.4160	25515.1538	131445.8125	19968.7166	11820.3953	12130.1345	20141.5674	59125.7686	56426.7275	144045.7227	213164.7227	37336.4004	28993.7910	28749.5894	163001.3535	128602.8613
sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	223	Homo sapiens	Membrane-associated progesterone receptor component 2	1:Experimental evidence at protein level	19.73	1.0000	0.9990	4	3	3	4	3	3	2505778	2495946	2505778	8K(304.2072), N-term(304.2072)			53925.4902	282939.6406	78220.0732	21051.9507	26549.9951	12150.0229	4134.0243	4011.9812	5286.3118	9926.1008	14051.0454	23563.9512	44142.3047	9475.7190	13058.2631	8904.1122	30917.6675	30047.5063
sp|O15212|PFD6_HUMAN	O15212	PFD6_HUMAN	PFDN6	129	Homo sapiens	Prefoldin subunit 6	1:Experimental evidence at protein level	26.36	1.0000	0.9989	4	4	4	4	4	4	8131488	8131488	8131488	6K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			74048.4199	161398.4619	168829.8604	35096.8198	43347.5586	12905.0748	19544.2296	11487.7804	22341.3708	36718.1652	41300.0669	40595.3854	126959.6470	21471.0645	71589.2109	36072.7183	99941.1846	113157.3018
sp|O15240|VGF_HUMAN	O15240	VGF_HUMAN	VGF	615	Homo sapiens	Neurosecretory protein VGF	1:Experimental evidence at protein level	28.94	1.0000	0.9990	17	17	17	19	19	19	67821673	67821673	67821673	11K(304.2072), 12K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			777787.3857	1887751.7832	887680.6807	169511.5076	224802.8486	39266.7336	56042.2329	42730.2576	73329.3219	159221.8510	161045.3269	202792.7422	529780.9795	87141.0652	158423.9070	75011.2130	218965.3428	217037.7290
sp|O15394|NCAM2_HUMAN	O15394	NCAM2_HUMAN	NCAM2	837	Homo sapiens	Neural cell adhesion molecule 2	1:Experimental evidence at protein level	11.11	1.0000	0.9990	9	9	9	9	9	9	3017831	3017831	3017831	10K(304.2072), 12C(57.0215), 1C(57.0215), 2K(304.2072), 7K(304.2072), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			292221.5957	851193.8418	200101.8696	60483.4443	164634.3027	27576.2166	18005.6875	15585.6030	28409.8293	91454.4255	87504.6270	151256.0142	344345.3359	38034.7058	45566.2072	27782.2948	161796.1909	91417.9097
sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	Homo sapiens	Syntaxin-7	1:Experimental evidence at protein level	37.16	1.0000	0.9990	10	10	10	13	13	13	23414566	23414566	23414566	11K(304.2072), 2K(304.2072), 4C(57.0215), 4K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)			1525613.3535	3788132.1367	740355.9248	237298.3540	162065.1145	26632.2175	36011.8804	23873.0745	38199.3483	158055.6644	87368.9331	190847.3594	276232.9595	53730.3362	89812.4086	60343.4961	195339.5586	167364.1230
sp|O15511|ARPC5_HUMAN	O15511	ARPC5_HUMAN	ARPC5	151	Homo sapiens	Actin-related protein 2/3 complex subunit 5	1:Experimental evidence at protein level	16.56	1.0000	0.9990	3	2	2	4	3	3	1646125	1344456	1646125	N-term(304.2072)			57415.4961	151348.0391	54231.3164	10348.0713	34241.0098	11520.4082	4793.7212	5861.8673	5551.9949	16876.3145	10142.0928	43271.1973	47849.6875	14340.3765	12131.8032	12275.1914	29476.7158	29848.9189
sp|O15540|FABP7_HUMAN	O15540	FABP7_HUMAN	FABP7	132	Homo sapiens	Fatty acid-binding protein, brain	1:Experimental evidence at protein level	30.30	1.0000	0.9990	4	4	4	4	4	4	3049889	3049889	3049889	12K(304.2072), 4K(304.2072), 5C(57.0215), 9K(304.2072), N-term(304.2072), N-term(42.0106)			294691.1875	308929.0000	93436.8730	18834.8092	65706.3433	24567.4470	6227.7538	5218.5461	15816.7075	24588.7275	26055.3582	60092.7266	130251.0615	21570.8049	16848.5945	14294.6191	60427.0312	57691.9429
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	Homo sapiens	D-3-phosphoglycerate dehydrogenase	1:Experimental evidence at protein level	8.63	1.0000	0.9990	4	4	4	4	4	4	1052305	1052305	1052305	11K(304.2072), N-term(304.2072)			60610.2588	85729.5508	22723.6106	8056.0074	31265.3169	11263.8997	3884.3202	2994.4575	2210.0903	11824.0439	13853.8125	32706.4814	48160.4248	9803.4631	12756.0872	8722.3949	35479.3691	24827.2324
sp|O43181|NDUS4_HUMAN	O43181	NDUS4_HUMAN	NDUFS4	175	Homo sapiens	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1:Experimental evidence at protein level	31.43	1.0000	0.9990	7	7	7	13	13	13	42601686	42601686	42601686	10K(304.2072), 11K(304.2072), 12K(304.2072), 15K(304.2072), 2K(304.2072), 3M(15.9949), 9K(304.2072), N-term(304.2072)			315030.1318	5312115.6289	822762.6445	263067.9512	163524.7275	24963.3591	17000.4617	19587.3870	33934.7671	62220.8693	70263.3108	113709.2811	281348.0227	59658.2622	68171.4335	61747.2168	196921.0056	186935.7131
sp|O43236|SEPT4_HUMAN	O43236	SEPT4_HUMAN	SEPTIN4	478	Homo sapiens	Septin-4	1:Experimental evidence at protein level	7.74	1.0000	0.9987	4	2	2	5	2	2	3368444	1319789	3368444	13K(304.2072), N-term(304.2072)			63162.8789	137087.5117	45701.7246	17890.5400	50438.6934	6255.5557	6096.2773	9297.6514	10295.6260	23670.3728	16809.8157	42695.7578	37779.3604	9543.7656	8416.8740	7914.2466	25162.3999	22644.5244
sp|O43237|DC1L2_HUMAN	O43237	DC1L2_HUMAN	DYNC1LI2	492	Homo sapiens	Cytoplasmic dynein 1 light intermediate chain 2	1:Experimental evidence at protein level	10.57	1.0000	0.9990	4	4	4	4	4	4	926209	926209	926209	12K(304.2072), 16K(304.2072), 17K(304.2072), 7K(304.2072), N-term(304.2072)			39736.8682	63575.4316	23480.0205	7106.9292	34085.7969	4936.4084	1566.5304	0.0000	4119.0007	6227.8014	8726.4763	28501.9502	45881.2988	9031.6096	8680.0820	7701.1128	36838.1465	30032.8447
sp|O43301|HS12A_HUMAN	O43301	HS12A_HUMAN	HSPA12A	675	Homo sapiens	Heat shock 70 kDa protein 12A	1:Experimental evidence at protein level	13.93	1.0000	0.9990	8	7	8	8	7	8	2328016	2328016	2328016	10K(304.2072), 12K(304.2072), 3K(304.2072), 7K(304.2072), N-term(304.2072), N-term(42.0106)			180177.9141	357043.1914	117918.9014	46614.8394	170971.3076	15712.5956	18117.5914	17672.6060	12702.7776	83946.4712	74699.0645	203636.9951	203388.8652	58731.6614	40450.7991	31898.5562	230161.5557	138151.9409
sp|O43325|LYRM1_HUMAN	O43325	LYRM1_HUMAN	LYRM1	122	Homo sapiens	LYR motif-containing protein 1	2:Experimental evidence at transcript level	13.93	1.0000	0.9990	2	2	2	2	2	2	1623962	1623962	1623962	2C(57.0215), 6C(57.0215), N-term(304.2072)			67108.4707	275210.3750	67650.4668	12239.5605	14430.6733	2295.5757	5152.1216	2921.8903	4471.3571	25941.5908	13657.8281	30741.4385	29780.8369	6531.3323	8459.3772	8176.2520	24535.7188	18293.5513
sp|O43396|TXNL1_HUMAN	O43396	TXNL1_HUMAN	TXNL1	289	Homo sapiens	Thioredoxin-like protein 1	1:Experimental evidence at protein level	11.42	1.0000	0.9990	2	2	2	2	2	2	555297	555297	555297	11K(304.2072), 4K(304.2072), N-term(304.2072)			29677.6777	49373.8516	29017.6621	5327.7136	26085.3262	1315.1069	0.0000	1755.8361	4883.4072	8034.2102	8278.1514	25412.5342	36326.1221	13564.9980	11549.5752	8386.8062	28027.6699	21558.6846
sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	206	Homo sapiens	Tumor protein D54	1:Experimental evidence at protein level	52.43	1.0000	0.9990	8	8	8	9	9	9	5918256	5918256	5918256	10K(304.2072), 11K(304.2072), 12K(304.2072), 15K(304.2072), 1K(304.2072), 21K(304.2072), N-term(304.2072), N-term(42.0106)			147529.6362	1023953.3535	248590.6016	77259.8445	65110.8875	13347.2931	7027.5632	3968.3818	9483.0957	27371.3019	26150.7488	51231.4265	76043.0767	15322.2870	24078.2852	15173.2292	64482.5793	68221.8220
sp|O43491|E41L2_HUMAN	O43491	E41L2_HUMAN	EPB41L2	1005	Homo sapiens	Band 4.1-like protein 2	1:Experimental evidence at protein level	6.47	1.0000	0.9990	7	5	5	8	6	6	2607150	1852678	2607150	11K(304.2072), 12K(304.2072), 1K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)			104679.9785	191049.4336	68954.2959	18027.8594	51198.9824	10188.5736	3848.4642	1440.5260	0.0000	22752.7876	20669.9048	38997.0703	66060.9365	9552.9803	15435.0288	9051.6656	43852.3120	27985.9229
sp|O43493|TGON2_HUMAN	O43493	TGON2_HUMAN	TGOLN2	437	Homo sapiens	Trans-Golgi network integral membrane protein 2	1:Experimental evidence at protein level	11.44	1.0000	0.9990	4	4	4	4	4	4	2650940	2650940	2650940	14K(304.2072), 9K(304.2072), N-term(304.2072)			145778.8730	678344.5156	203042.0156	25750.2715	18964.4236	2060.4514	1218.5201	1955.2949	2859.6267	16447.7959	10311.5046	31598.4314	31311.1636	6974.8245	3850.0789	2135.9458	12809.5546	10729.7155
sp|O43583|DENR_HUMAN	O43583	DENR_HUMAN	DENR	198	Homo sapiens	Density-regulated protein	1:Experimental evidence at protein level	30.81	1.0000	0.9990	7	7	7	8	8	8	9316354	9316354	9316354	12C(57.0215), 13K(304.2072), 18K(304.2072), 19K(304.2072), 20K(304.2072), 8K(304.2072), N-term(304.2072), N-term(42.0106)			471075.6816	1826683.2891	321475.2070	108887.4722	79467.2668	15516.2271	12211.5587	6923.9438	12601.5909	33226.3962	32428.4150	80382.6021	97423.0957	24943.7312	27914.0378	17909.3616	78319.8164	76092.4272
sp|O43615|TIM44_HUMAN	O43615	TIM44_HUMAN	TIMM44	452	Homo sapiens	Mitochondrial import inner membrane translocase subunit TIM44	1:Experimental evidence at protein level	11.95	1.0000	0.9990	5	5	5	5	5	5	4814408	4814408	4814408	10K(304.2072), 11K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			113896.3877	265432.7070	101447.8115	30717.9111	66947.6660	18082.4519	10229.0957	8649.5388	17084.3315	36217.8672	32765.2410	97868.6650	138579.9824	32950.1965	28549.1371	23635.2980	91892.3633	57964.9160
sp|O43633|CHM2A_HUMAN	O43633	CHM2A_HUMAN	CHMP2A	222	Homo sapiens	Charged multivesicular body protein 2a	1:Experimental evidence at protein level	27.03	1.0000	0.9990	6	5	6	6	5	6	4444063	4248492	4444063	10K(304.2072), 1K(304.2072), 3K(304.2072), 6K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			278154.5898	749102.9297	187037.7969	58943.2622	68249.0225	13858.6461	5102.8868	13268.8925	15311.4321	34965.3220	28337.1526	69150.7916	79820.4336	20078.5908	20843.8870	18144.4824	58060.1699	54546.1050
sp|O43676|NDUB3_HUMAN	O43676	NDUB3_HUMAN	NDUFB3	98	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	1:Experimental evidence at protein level	44.90	1.0000	0.9990	6	6	6	7	7	7	43458131	43458131	43458131	10K(304.2072), 11K(304.2072), 12K(304.2072), 2M(15.9949), 7K(304.2072), N-term(304.2072)			221014.5391	1941760.4766	430500.7324	196189.3345	72955.9294	24079.6367	15919.2670	24925.6110	28372.2545	51974.1252	55755.8296	66623.3539	110416.2205	29605.0811	58213.0559	41268.0105	94898.0771	96545.4038
sp|O43678|NDUA2_HUMAN	O43678	NDUA2_HUMAN	NDUFA2	99	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	1:Experimental evidence at protein level	58.59	1.0000	0.9990	7	7	7	7	7	7	20154612	20154612	20154612	1K(304.2072), 2C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			168329.1995	614908.2227	696572.6387	71464.9233	207297.2983	19507.2008	32555.0199	25007.5232	65695.2881	67621.1145	107192.8967	146653.3428	606299.0684	139850.8899	117408.3796	104282.1611	338313.9717	295088.3965
sp|O43759|SNG1_HUMAN	O43759	SNG1_HUMAN	SYNGR1	233	Homo sapiens	Synaptogyrin-1	1:Experimental evidence at protein level	14.59	1.0000	0.9990	3	3	3	3	3	3	14892679	14892679	14892679	10K(304.2072), N-term(304.2072), N-term(42.0106)			95846.7930	325550.3047	136866.5078	31226.7900	58914.2422	4137.0756	8034.0274	6575.5232	11831.0190	24397.1416	29298.9902	52791.6016	92641.8398	24700.0520	24276.3560	17279.5371	81579.5293	53944.9844
sp|O43761|SNG3_HUMAN	O43761	SNG3_HUMAN	SYNGR3	229	Homo sapiens	Synaptogyrin-3	1:Experimental evidence at protein level	16.59	1.0000	0.9990	3	3	3	4	4	4	6817113	6817113	6817113	10C(57.0215), 1C(57.0215), N-term(304.2072)			109807.5938	308983.0938	133768.9883	21655.0425	123463.4395	5563.1914	7071.3816	6735.8000	21635.0554	24200.5864	52580.5986	120040.8135	218828.4121	41081.8644	31334.8213	24736.7405	148280.5938	114800.3887
sp|O43765|SGTA_HUMAN	O43765	SGTA_HUMAN	SGTA	313	Homo sapiens	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	1:Experimental evidence at protein level	7.35	1.0000	0.9990	2	2	2	2	2	2	1105856	1105856	1105856	10K(304.2072), 11C(57.0215), 3C(57.0215), N-term(304.2072)			46341.9111	171116.3398	36393.2354	11331.8279	25892.2510	5397.2206	3863.7456	2340.9434	3229.4271	10147.9927	12562.8499	28358.0938	47938.0840	13225.3247	7505.0322	9296.3037	39920.5557	29472.3003
sp|O43837|IDH3B_HUMAN	O43837	IDH3B_HUMAN	IDH3B	385	Homo sapiens	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	1:Experimental evidence at protein level	22.60	1.0000	0.9990	9	9	9	10	10	10	8076243	8076243	8076243	13K(304.2072), 2M(15.9949), 5C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			335660.5532	840565.3262	319584.7100	92081.1157	302657.4624	34453.6859	35822.6736	30010.9546	53559.5857	124353.0398	128312.9043	319146.3433	475290.3438	142416.7618	78064.7035	103246.9897	306395.3369	207942.3115
sp|O43865|SAHH2_HUMAN	O43865	SAHH2_HUMAN	AHCYL1	530	Homo sapiens	S-adenosylhomocysteine hydrolase-like protein 1	1:Experimental evidence at protein level	8.30	1.0000	0.9990	4	2	4	4	2	4	3155622	748428	3155622	3C(57.0215), 6C(57.0215), 8K(304.2072), N-term(304.2072)			219483.9414	410505.6094	131303.4072	41496.1189	103420.2334	25350.1631	25298.8467	27955.8474	30113.1401	165950.5146	61262.1875	188162.6289	196596.3184	48654.2104	38547.6235	26213.6519	131387.5234	73265.1611
sp|O43920|NDUS5_HUMAN	O43920	NDUS5_HUMAN	NDUFS5	106	Homo sapiens	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	1:Experimental evidence at protein level	63.21	1.0000	0.9990	8	8	8	9	9	9	40492942	40492942	40492942	10K(304.2072), 12K(304.2072), 5C(57.0215), 7K(304.2072), 9C(57.0215), N-term(304.2072)			180410.1172	1507674.6055	466342.0820	128774.0828	90622.2424	20871.0671	17669.7095	30717.6592	25604.7770	63478.8940	51313.6835	99861.5134	172858.2729	39022.9602	48265.1893	37723.4518	126435.3809	102431.7886
sp|O60262|GBG7_HUMAN	O60262	GBG7_HUMAN	GNG7	68	Homo sapiens	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	1:Experimental evidence at protein level	41.18	1.0000	0.9990	3	3	3	3	3	3	12143470	12143470	12143470	1K(304.2072), 9C(57.0215), N-term(304.2072)			122981.3594	157633.0312	94622.4082	37997.9072	57218.0430	4570.4697	20556.2539	6936.4156	13191.0603	19885.7710	35459.5605	36036.0479	85614.1309	12467.5308	54862.1836	26495.0596	101989.4277	78628.7559
sp|O60268|K0513_HUMAN	O60268	K0513_HUMAN	KIAA0513	411	Homo sapiens	Uncharacterized protein KIAA0513	1:Experimental evidence at protein level	8.76	1.0000	0.9990	3	3	3	3	3	3	2185603	2185603	2185603	11K(304.2072), 12K(304.2072), 13K(304.2072), 5C(57.0215), 8K(304.2072), N-term(304.2072)			59638.2427	265740.5449	94043.9922	18381.1848	28428.1814	1485.3257	1236.4006	2463.1536	4593.2821	19847.9370	25385.5010	21070.1638	162772.7812	23232.9109	16235.4261	3815.7698	46700.4673	25290.5115
sp|O60282|KIF5C_HUMAN	O60282	KIF5C_HUMAN	KIF5C	957	Homo sapiens	Kinesin heavy chain isoform 5C	1:Experimental evidence at protein level	4.60	1.0000	0.9990	4	1	4	4	1	4	1144766	150948	1144766	12K(304.2072), 18K(304.2072), 5K(304.2072), 7K(304.2072), N-term(304.2072)			129259.3638	192459.1924	64667.6880	19517.3771	67533.6860	12097.6018	6043.8643	5798.4496	5477.2640	38830.1343	29595.7382	61914.1143	106839.1143	20832.4800	20600.2529	11360.1257	104298.6357	44247.0059
sp|O60313|OPA1_HUMAN	O60313	OPA1_HUMAN	OPA1	960	Homo sapiens	Dynamin-like 120 kDa protein, mitochondrial	1:Experimental evidence at protein level	12.29	1.0000	0.9990	12	12	12	13	13	13	6219308	6219308	6219308	11K(304.2072), 19K(304.2072), 1C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			271316.7959	749729.1992	234650.5156	73141.5522	246863.0752	21755.0287	23227.7965	16047.7749	27402.5356	114884.7490	132493.6675	296807.4482	476748.6348	105756.4409	75858.5071	69779.4268	376078.9258	230255.4639
sp|O60493|SNX3_HUMAN	O60493	SNX3_HUMAN	SNX3	162	Homo sapiens	Sorting nexin-3	1:Experimental evidence at protein level	16.67	1.0000	0.9990	3	3	3	3	3	3	3726840	3726840	3726840	N-term(304.2072), N-term(42.0106)			135296.4824	441103.2695	87283.9395	41907.3726	88219.0850	50838.4502	12719.2234	12697.3364	17906.5891	38245.0229	39095.4478	110203.9824	118911.8984	28431.4819	26129.8438	20633.7395	74364.9854	61424.0391
sp|O60641|AP180_HUMAN	O60641	AP180_HUMAN	SNAP91	907	Homo sapiens	Clathrin coat assembly protein AP180	1:Experimental evidence at protein level	7.72	1.0000	0.9990	7	6	7	7	6	7	5100364	5100364	5100364	10K(304.2072), 11K(304.2072), 1K(304.2072), 7K(304.2072), N-term(304.2072)			106365.0762	409873.2344	87483.8896	36258.9941	101189.2529	6547.1553	8722.8521	16556.2401	13645.7808	65595.6720	56790.4573	109909.0742	180112.0820	30865.3699	42958.0439	23833.0234	156625.9785	74187.4766
sp|O60664|PLIN3_HUMAN	O60664	PLIN3_HUMAN	PLIN3	434	Homo sapiens	Perilipin-3	1:Experimental evidence at protein level	10.60	1.0000	0.9990	4	4	4	4	4	4	1371632	1371632	1371632	3C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			297497.3008	277239.0938	61613.8892	20335.9438	28741.7642	7817.5990	3076.1421	0.0000	4925.7639	27065.9270	14497.4263	39220.3586	38247.7473	8570.4341	8185.0984	9425.9086	27729.3840	32623.1128
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	Homo sapiens	Histone H2B type 1-K	1:Experimental evidence at protein level	40.48	1.0000	0.9990	6	0	6	6	0	6	46171938	     0	46171938	11K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)		sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN	2098849.2773	1437340.9883	239942.9375	87119.6917	58072.0142	40682.9128	14505.7161	17012.1959	15290.8711	53711.4304	42115.7332	78395.9919	175934.7715	31773.2944	37920.0806	22441.7340	79792.5791	89261.0850
